Job_title,Company_name,Job_location,Salary,Job_time,Skills
Engineer/Technical Specialist – Enterprise,Ncell,Kathmandu,Not Disclosed,Full Time,
Assistant Specialist- Corporate communication,Ncell,Kathmandu,Not Disclosed,Full Time,
Assistant Specialist - Business Planning & Insights,Ncell,Kathmandu,Not Disclosed,Full Time,
Manager,Jiwan Tech,"Madhyapur Thimi, Bhaktapur (Near Pepsicola)",Not Disclosed,Full Time,"Communication, Teamwork, Leadership, Multitasking, Coordination"
Project Manager,Jiwan Tech,"Madhyapur Thimi, Bhaktapur (Near Pepsicola)",Not Disclosed,Full Time,"Problem Solving, Leadership, Time Management, Project Management Skills, Documentation and Reporting"
Laravel Developer,The British College,"Trade Tower, Thapathali",Not Disclosed,Full Time,"Css, Javascript, Laravel Framework, MySQL, PHP"
Frontend Developer,MTC,Remote,"$. 2,000 - 2,700 Monthly",Full Time,"Javascript, Ui/Ux, Coordination, Frontend, PHP"
Accounting Software Technician,Biz InfoTech,"Jamal, Kathmandu",Not Disclosed,Full Time,"Communication, Problem Solving, Accounting, Customer Support, Technical Troubleshooting"
IT Officer - Systems and Network,Team Quest,"QFX Head Office, Team Quest, LABIM - Pulchowk, Lalitpur",Not Disclosed,Full Time,"Python, Troubleshooting, Technical, Network Troubleshooting, Documentation and Reporting"
.Net Developer - Team Leader,mPathshala,"Jamal, Kathmandu",Not Disclosed,Full Time,"Problem Solving, Asp.Net MVC, MySQL, HTML, Team Leadership & Mentoring"
IT Teaching Assistant,Sindhuli Community Technical Institute SCTI,"Kamalamai Municipality, Nunthala, Sindhuli",Not Disclosed,Full Time,"Communication, Counseling, Java, C#, Python"
Senior Full Stack Developer,Universal Outsourcing,Kathmandu,Not Disclosed,Full Time,"Java, Python, React, Angular, Vue"
Technical Support Representative,Veda School and College Management System,"Jawalakhel, Lalitpur","NRs. 20,000  Monthly",Full Time,"Quick Learner, Troubleshooting, Technical, Customer Support, Google Workspace"
IT Officer,Chynabazar,"Balkumari, Lalitpur",Not Disclosed,Full Time,"Networking Skills, Vendor Management, Attention to Detail, ERP software"
Full Stack Developer,Chynabazar,"Balkumari, Lalitpur",Not Disclosed,Full Time,"Php, Html, Css, Javascript, Python"
Technology Officer,Load Board,"Bhanimandal, Basketball Court, Ekantakuna Road",Not Disclosed,Full Time,"Database Management, Apis, System Management, Product Management, MS Excel"
Web Developer,White Tiger Holidays,"Baluwatar, Subarna Shamsher Marg, Kathmandu","NRs. 60,000 - 70,000 Monthly",Full Time,"Css, Javascript, Wordpress, Python, Webpage Designing"
IT Project Manager,White Tiger Holidays,"Baluwatar, Subarna Shamsher Marg, Kathmandu","NRs. 70,000 - 80,000 Monthly",Full Time,"Project Management, Jira, Pmp, Scrum, Agile Development"
IT Officer,Kathmandu English School,"Maligaun, Kathmandu",Not Disclosed,Full Time,"Time Management, Troubleshooting, Maintenance, Technical Support, Problem-Solving Skills"
Off Page SEO Specialist,Codavatar,"Kalopul, Kathmandu","NRs. 25,000 - 35,000 Monthly",Full Time,"Creativity Skills, Ahrefs, Attention to Detail, Search Engine Optimization (SEO), Moz"
Website Developer,DB Nexio,Lokanthali 02 Bhaktapur,"NRs. 25,000 - 30,000 Monthly",Part Time,"Work Under Pressure, Php, Html, Css, Javascript"
Frontend Developer,Autaway,Remote,Not Disclosed,Full Time,"Communication, Coordination, Problem-Solving Skills, Axios, Attention to Detail"
Product Listing and Management,Ecan Australia Pty Ltd,Remote,Not Disclosed,Full Time,"Communication, Interpersonal Skills, Product Management, Stock Monitoring"
